artist,title,year_released,rating,review,genre,query,album_id
Alex Moulton,Exodus,2008,6.9,just still whole hard time live linear more its cutting problematic central gauzy final proverbial exclusive his larger unencumbered single instrumental frozen only somber light simultaneous crazy even large pink fast both kind future two all every house obsessive tribal first medium such fiery individual little full one awkward visual these romantic fascinating daft corporate This debut album by filmmaker and media production head Alex Moulton scores an imagined science-fiction adventure with classic Vangelis and French House flourishes.,Electronic,jungle disco latin romantic house punk retro analog harp rising otherworldly,571
Alexander Tucker,Portal,2008,2.0,"just either more long free thick better electric well harmless classical both two background little dangerous interesting trusted unfulfilled whose work live very pretty lead vague wasted several able sharp former only dead much written pink top focused short stronger distinctive hyperbolic vacant pedestrian mean daily acoustic overwhelming favorite empty psychedelic his cosmic familiar bad other fourth vigilant right first tamed deliberate one sinister impossible marked electronic young double its big best common personal all modern repetitive snarling real down these different English guitarist and singer-songwriter, who has collaborated with Stephen O'Malley of Sunn O))) among many others, returns with an idea-deficient fourth album.",Experimental / Rock,folk cosmic noise drone distorted jazz praise electronic neon violin classical,579
Alexandra Savior,Belladonna of Sadness,2017,6.0,"dress work whole time languid very home original its eerie latest second same ripe collaborative leading musical close well only which another giving even feminine best clever other simple less quality both wry signed all worst vast heavy minor vocal first crying limited new trying direct recognizable little ceaseless full one brief distinct spattered least four hanging last true vanishing spooky whose her The young American singer launches her career with a slinky, vintage album featuring production from Arctic Monkeys’ Alex Turner—though it sounds more like Turner side-project than a showcase debut.",Pop/R&B,drama soundtrack vintage feminine,581
All Girl Summer Fun Band,2,2003,6.9,game just subject either whole worrisome eventual stained okay wanton still sugary more second its cheery enough obvious spry sorry solid winning content old fun musical racial suffering another yearning dead even nice other nine minute most endearing kind macho perky all two protective mature bold secret one open least flavored last liberal tired All Girl Summer Fun Band's second outing is the kind of thing most critics-- read: grouches with slouches-- love ...,Rock,pop soul,636
Aloha,Sugar,2002,8.0,just either time ecstatic more long sappy better born earnest low electric inside material threatened known both two background wrong extreme bigger driven great little serious independent last inspired exotic each still live pretty vague biggest fun past even every exhilarating least continuous dusty near haunting dissolving second his soft other less first mini one its head enough fit reminiscent big worried textural high fast most fewer slow distracting all direct trying sure full five these jazzy spare Some college kid told Aloha that they were great to study to and it's been haunting them ever since ...,Rock,distorted haunting rock,665
AlunaGeorge,I Remember,2016,6.6,prize just still futuristic emotional hard time more second animal long playful its burning deep motor his harsh unlikely old fun dark past which well another curious heartrending much due bad soft short slow all every house heavy modern nostalgic first ceaseless new filmy cool sinuous down mean heady absorbing one nasal swaying dense these lacking noncommittal next forward slippery white alike listless half Aluna Francis and George Reid's sophomore album globe-trots through bass and sass-heavy dance tunes that occasionally stall out at their peaks.,Pop/R&B,swaying futuristic dense noise dancehall dark house distorted nostalgic pop electro,686
Alvvays,Alvvays,2014,7.6,"dusty young just still desperate clean time native very brunette early more opportunistic tragic its involved ambitious same winsome old contemporary big striking frank opening former only yearning curious oblivious infinite even crestfallen less perfect both future buoyant two every natural all textual formidable similar aching domestic life such new dual broken trying down rousing one visual last late floral thematic her adult Toronto indie-pop quintet Alvvays' Chad VanGaalen-produced debut is the sound of pristine pop music blasted through cheap, blown-out headphones. Every time it seems like a song is about to decay before your ears, you sense both the sadness and the liberation of knowing that nothing lasts forever.",Rock,c86 pop buoyant,691
Alvvays,Antisocialites,2017,7.3,famous morose acerbic still just melancholy live early east lead its second synonymous piercing better digital winsome single mournful big pronounced ethereal past material clear auspicious another slight musty bright nine less most endearing both short future all baby similar bigger sharpened aching teenage muffled new broken left succinct recent expected guilty rare one these last insistent weary party The second album from the Toronto indie pop band is nothing but thoroughly accomplished songs. Alvvays have sharpened their focus without losing sight of themselves.,Rock,folk c86 ethereal celtic pop,692
Alvvays,Blue Rev,2022,8.8,"famous screaming just global very various lousy wide more its second monumental enough quiet better deep psychedelic inside big loud adopted lush unfortunate sober much even gaudy large intrepid blue less future all every middle key straight first new broken great down absorbing one least these last level treasured jubilant effortless The Toronto band’s third album is a triumph of power pop, a densely layered, witty, blithe, and beautiful record that sets a new benchmark for the genre.",Rock,world shoegaze pop country rock ska lush tribute emo,693
Amadou & Mariam,Welcome to Mali,2008,8.4,"willing tough day either emotional prominent global good original east more pretty involved fit his single mournful big musical opening international close which light dramatic best stylistic western common inevitable large simple rhythmic devastating less respective two natural all important melodic logical obscure nostalgic first bent such new great little impressive blind sweeping one west talented open last inspired different strange her Amadou & Mariam reached international acclaim after 2005's Dimanche à Bamako; they follow that with a more global record featuring guests from France, the Ivory Coast, and Canada, as well as Englishman Damon Albarn.",Global,world nostalgic harp pop reggae,702
Amanaz,Africa,2010,7.0,"just still budget knowing northwest time hard pretty more lead later its exact depressed retired better central low his sole same familiar popular sweet reminiscent musical supple chance past spontaneous close which only flimsy much even western other blue straightforward muddy lucky both kind future all life neither melodic key heavy first bent mean new south little dedicated interesting five one next weird buzzing least four period inspired colonial surprising This 1975 record from Zambia's ""Zam-rock"" scene, reissued by Now-Again and Shadoks, shows a band that was both behind and ahead of its era.",,folk soukous metal funk country rock highlife punk pop afrobeat,703
Amen Dunes,Love,2014,7.8,"previous lonely extended subject work still just time gold good more its long latest obvious better affected blurry elastic his expanding receding classic fascinated profound chance adept trick material meditative which only raw sonic written even wooden searching accessible other simple unique less confused perfect both black slow solitary stronger all two bigger patient first bent new trying broad little one open forward white whose glass acoustic mountain introspective lazy each Damon McMahon’s work as Amen Dunes has been a process of expansion, and
Love is an even grander step forward, both in the roster of musicians McMahon employs—including members of Iceage andGodspeed You! Black Emperor—and the more accessible, classic-leaning songs he’s written.",Rock,raw swing,723
Aminé,ONEPOINTFIVE,2018,6.0,"previous older just still work knowing stained good anxious more loving empty used depressed better casual his happy same content quirky expensive fun contemporary big away swaggering frank admiring which only another curious light shiny cynical even vibrant clever quality less personal kind salt worst two life all richer new sure driven working cool interesting one brief these satisfying thoughtful late tiny overcast offbeat rich half aimless On the Portland rapper’s surprise “EP/LP/Mixtape/Album,” his feel-good music starts to lose some of the stained, lived-in quality that once made it so rich.",Rap,rap outsider,753
Amy Winehouse,Back to Black,2007,6.4,game favorite slick subject emotional time blessed home typical second profane following accused eternal occasional final his forceful same larger popular old single inside opening able defensive brassy well only giving much even best powerful objective gray scheduled genuine third mundane less most perfect both black kind life two all wrong moved modern first shut wet monotonous trying clinical left little lyrical real sneaky full heartbroken personal one worn these new last romantic her alone each nan,Pop/R&B,tribute blues romantic jazz ska retro soul pop reggae,792
Angel Olsen,My Woman,2016,8.8,"lonely distraught still time live alone home possible precise literary more wide loving its synonymous head enough quiet loose piercing sublime final outside physical electric inside classic absolute well searing another yearning light much feminine alive bright poetic most proud each all worth two wrong baby red modern first total poised individual taunting great one open latter witty traditional upbeat wise pure introverted spare her half cut disarming Angel Olsen's latest is her best record yet, a bracing mix of sounds and styles congealing around songs of pain, sadness, and hope.",Rock,folk world rock pop feminine,901
Anika,Anika,2010,6.5,just specific fantastic emotional live very tempting original seven good loving its better chunky his biggest familiar old lingering prevalent rewarding past material droll well another deadpan minimal dramatic teasing best skeptical high clever minute most kind two obscure key industrial patient minor right teenage refreshing new charming driven shortsighted faithful one tender fitting detached noisy tuneful Portishead's Geoff Barrow and his side project Beak> back European chanteuse Anika on a mix of covers and originals.,Pop/R&B / Rock,folk tribute world tender minimal industrial sleep airy punk pop dub,917
Animal Collective,Feels,2005,9.0,previous conventional still daffy work live time longer early pretty more its animal better same electric inside leading loud able transitional which well only sonic purple best western even difficult excellent unusual conversational straightforward unique simple other two every middle all relieved vocal first total such new necessary wordless great working down heady full interesting one open tender next latter these eight upbeat acoustic tuneful half each With each new album it becomes clearer that Animal Collective will not stay still. You can see them on tour ...,Experimental,drifting tender abstract rock pop electro,926
Animal Collective,Merriweather Post Pavilion,2009,9.6,equal just ridiculous work time subliminal pretty more latest animal its long idiosyncratic head better used outside disappointed his same popular single classic instinctual musical moving clear well joyous harmonic sonic irritating snappy accessible territorial other straightforward drenched most both all middle diverse natural two obsessive background vocal fuzzy likeable rigid mean new lyrical little working full faithful one west open last sumptuous forward complete anticipated possible sticky each nan,Experimental,folk hardcore noise drone rock pop,930
Aphex Twin,Selected Ambient Works Volume II,1994,10.0,"favorite young just day either early home long enough born his happy old musical compound yellow close chemical clear plus completed another dead much even practical gullible known blue ornery kind bored short two all house domestic caustic sure separate endless tall holiday benevolent serious imported one fair worn acid ravenous thin electronic each Each Sunday, Pitchfork takes an in-depth look at a significant album from the past, and any record not in our archives is eligible. Today, we revisit an album that changed ambient music forever.",Electronic,techno outsider house analog sleep electronic rising,1048
Arca,&&&&&,2020,8.4,"previous just emotional cultural time party global crunchy home more irreverent its enough unknown occasional low digital foggy mischievous inside old big musical collapsing past which only sonic even quivering accessible high potential blue minute less wild top focused future obsolete all two translucent right new poised cool down formal deformed one west late revolutionary novel multicultural strange electronic her legal continuous A new reissue of Arca’s 25-minute mixtape from 2013 highlights its prophetic, trailblazing qualities. It remains an unfathomably skillful and multi-layered piece of music.",Experimental,soundtrack techno chillwave foggy world glitch electronic crunchy pop grime rising dub,1095
Arcade Fire,Everything Now,2017,5.6,"dim just silver longer global lousy more tiresome its ok worthy available earnest cosmic contrary content diffuse technological satirical pronounced joyless which meaningful another tangled infinite large pervasive minute top kind lost all life two heavy modern new separate secret one these least whose daily daft computer half overwhelming The Montreal band’s fifth album finds them in musical and lyrical stasis. The pale, joyless songs don’t transcend their social critique—they succumb to it.",Rock,kompa cosmic disco fake punk,1103
Arctic Monkeys,"Whatever People Say I Am, That’s What I’m Not",2006,7.4,unsigned still just combined more later its smug unknown public same biggest which another much condensed nice high difficult top small signed two life first expressive such breathless new mean risky complaining fresh irresistible last organic business quick different Their LP was only released two days ago but these Sheffield teens are already considered the UK’s biggest new band since Oasis.,Rock,emo country rock,1136
Arlo Parks,Collapsed in Sunbeams,2021,6.7,"just aimless hard plastic possible more lead collapsed hurt worthy affectionate pleasant violet dry sweet old single usual light much even other endearing black all every intimate right repetitive charming afraid cool friendly massive one these complete glass front her proper The hotly tipped 20-year-old singer-songwriter debuts with a cool, confident record that occasionally blends into pleasant monotony.",Rock,world disco fake distorted intimate atmospheric pop,1171
Atlas Sound,Parallax,2011,8.7,"previous just dress work gruff documentary plastic early outspoken meek free his exclusive biggest away standard adept trick material only much even high other blue most small bored two all baby middle vocal real individual down impressive unabashed appropriate interesting one strong swimming garrulous four last cracked glass weary rich alone cut each The third Atlas Sound record is a more complete work than any of Bradford Cox's earlier solo ventures. Cox still sounds small, alone, and cut adrift from the world on Parallax, but the way its songs breathe suggests he's more comfortable in his own skin, allowing him to draw his audience closer than ever.",Rock,world idol noise rock vintage ambient,1300
Au Suisse,Au Suisse,2022,7.4,"glowing work major cohesive early far original more later feverish loving his steel odd prior gaseous single musical ethereal stylistic even flickering extra best large other both short buoyant two active baby house distinctive straight first new charming mean down broad trim one sumptuous romantic revolutionary white inspired daft electronic random Morgan Geist and Mike Kelley’s first outing as a duo takes in a broad sweep of early-’80s reference points—disco, new romantic, sophistipop—that come together in an opalescent swirl.",Electronic / Pop/R&B,techno disco funk noise buoyant freestyle romantic pop house ethereal vintage airy punk electronic ambient electro,1323
Auscultation,III,2020,8.0,"half glowing innumerable whole ambiguous time live muted early good more its following rustling idiosyncratic better spectral his cosmic exclusive distant larger chief instrumental close past several material well essential which light hazy much ringing even complex twinkling seeming two all house safe metallic first real golden new endless lengthy prolific exciting fair palpable candid calm last eight forward steady tiny jazzy marked electronic moody Producer Joel Shanahan expands his palette, mingling shades of ’90s ambient techno with distant echoes of the Cocteau Twins. Even at the record’s mellowest, muted rhythms knock like a racing heart.",Electronic,techno cosmic world pop rock house steady punk electronic ambient,1347
BROCKHAMPTON,GINGER,2019,6.5,"huge just still home good likely more its unsolvable scattered accused better central born fit his disjointed jittery cold clear neglected inefficient weekly light compelling even best cheerless common creative personal both lost all life house sad abandoned murky trying communal down little broken recent confirmed massive severe open pessimistic cramped four these dejected least forward disorganized narrow quick present different front north moody each After a brief hiatus, the restlessly creative group returns with a compelling but disjointed record about self-fulfillment.",Rap,abstract house murky jittery hollywood,1474
BROCKHAMPTON,Saturation II,2017,7.2,"just still knowing biting gold appealing good more second its long enough his same sweet odd extension biographical musical material nebulous ferocious much fashionable even objective glaring third less most glossy short two all richer important first right trying cool valuable west one imminent polished sinister political fitting magnetic different On their second album in as many months, the Los Angeles rap crew keep developing their sleek and cool performance style but offer new bouts of aggression and swagger.",Rap,glossy polished rap funk abstract flowing motivation,1477
BROCKHAMPTON,Saturation III,2017,7.5,"still just work whole time far precise more egalitarian obvious better unorthodox his same odd taller mission moving clumsy much even objective social fewer future black all life important similar imaginative first real mean separate broad working strongest memorable reserved artificial one talented these weird savvy flattened curly offbeat inspired incomplete corporate understanding It’s on their third album of the year that rap crew BROCKHAMPTON’s whole gestalt comes into focus. There are more memorable performances, and more fascinatingly unorthodox compositions servicing them.",Rap,pop rap worship abstract,1478
Bacao Rhythm & Steel Band,55,2016,7.4,"just fantastic time crisp more long sensitive well delightful both two heavy fluttering true lower political pure faraway half lazy shifty still legendary home early stunning original following obvious instrumental sharp suave much even rhythmic short stronger obscure wondrous mighty restrained expected awkward front acoustic previous slick playful second used psychedelic his steel unexpected loud moving which round bad soft other unique metallic finicky right first impressive tight recent woozy one rare impossible electronic double its folded versatile deep ticking popular single constant classic standing best endearing most kind all easy new full dedicated traditional forward Covering 50 Cent, Cat Stevens, Faith Evans, and more on steelpan drums should not sound this gimmick-less. It helps that the Bacao Rhythm & Steel Band is, first and foremost, a strong funk ensemble.",Global,mallet world steelpan soca bassline metal disco funk latin crisp jazz calypso breakbeat electronic reggae breaks,1525
Bad Bunny,Un Verano Sin Ti,2022,8.4,"still day major native early various global loving its synonymous second remaining his fun unexpected musical sharp which sporting bad beginning high conscious known experimental social cute most black two all intimate nostalgic first prolific one adventurous last enticing narrow upbeat street whose impeccable party Much more than a Caribbean summer playlist, Bad Bunny’s latest album is a melodic discourse that questions the powers that be and a call to action that encourages diasporic joy, perreo, and rest.",Rap / Pop/R&B,bachata mambo experimental latin intimate nostalgic wrestling punk pop reggae reggaeton,1544
Beach Bunny,Honeymoon,2020,7.0,"near confident still older either just immediate home good wide early more pretty viral its stale long wistful better rough sorry eager superficial familiar single correct rewarding opening past moving which only slight crazy best even female bright other known straightforward singular most two all sentimental shut right ready sure recognizable little resolute true wanting last romantic tired front rich sticky her weak Chicago’s Lili Trifilio writes about heartache and insecurity with the wistful, plainspoken honesty of power-pop.",Rock,rap pop romantic rock punk wistful,1692
Beach Fossils,Beach Fossils,2010,7.8,"near just day work philosophical economy early more long its his wonderful lazy feeling larger single fifth breezy humming big literal past unobtrusive which masked light shy much giving even classical accurate evocative negative most bored all every stacked miniature first aggressive real trying golden down little working tight challenging true white daily half otherwise Adopting the atmospherics of the Clientele and Real Esate, this Captured Tracks band manages to be both evocative and technically proficient.",Experimental / Rock,soundtrack jazz classical,1693
Beach Fossils,Clash the Truth,2013,5.8,"previous just day work disparate rainy time unintended wide sequential more its assured fleeting flat solid same big unexpected opening sheepish instrumental frozen moving former well which only excited militaristic much relatable even bad soft other tricky confused wild passive kind opposite all relative short bigger monotone scrappy careless vocal fuzzy first aggressive real amiable several little artistic financial one mortal numerous these fine expansive utter aware drowsy tuneful alone otherwise The New York City dream pop band's second album sees them introduce a darker, more socially aware edge, though it trades their former instrumental rigidity for amiable, mid-fi college rock jangle.",Experimental / Rock,chillwave world rainy rock sleep punk pop,1695
Beach Fossils,Somersault,2017,7.3,"confident previous still either hypnotic more lead long its remaining quiet involved low blank his ambitious single several clear former which plus shy longing best overall inescapable even written other third unusual known minute personal most wild both spoken established two life all temporary nostalgic first frequent real down full acrobatic five one unfettered four last greatest political whose sleepy distant dreamy tired introspective Somersault is a huge leap for Beach Fossils and includes some of Dustin Payseur’s most nuanced songs to date, with features from Slowdive’s Rachel Goswell and Cities Aviv.",Experimental / Rock,world country retro nostalgic atmospheric punk pop dreamy,1696
Beach House,7,2018,8.9,nameless game dim time longer seven implicit enough opened low his same seventh familiar venerable single inside solar dark bloody drunk moving trick plus former only light sonic alien other shallow quality most resounding mystical two all house first sick real smeared gentle one fresh lean thunderous four insistent indefinable initial each Beach House remain masters of the indefinable and their seventh album is their heaviest and most immersive-sounding of their career.,Rock,house dark,1698
Beach House,B-Sides and Rarities,2017,6.9,"still just work raspy holistic crunchy early likely original more long its scattered used cutting casual inside old single moving former another compelling even extra other bright creative magic quality most lucky both slow intermittent all two house vocal first right refurbished cinematic tight recent one open these latter last particular stoic anemic white her forgotten proper each The collected footnotes from the Baltimore band's decade-long career plays almost as smoothly as a proper album, showing the meticulous  construction behind some of Beach House’s spells.",Rock,house crunchy cinematic breaks,1699
Beach House,Beach House,2006,8.1,"human still just work upper languid far good pretty more scary orange empty its wheezing thick decaying master digital ritualistic same cold glad classic sharp winter well much musty even best simple soulful most slow certain all worth life house neither intimate bigger two uncommon first vocal such afraid down creeping one open smaller next these latter late impossible gorgeous In the tradition of Mazzy Star, Galaxie 500, Spiritualized, and Slowdive, this Carpark duo-- singer/organist Victoria Legrand and guitarist Alex Scally-- crafts lovesick, narcotized rock with lots of depth and sweep.",Rock,world rock house intimate breaks,1700
Beach House,Bloom,2012,9.1,"still just work emotional double black time home far more indescribable later assured its long luminous his larger diffuse big ethereal worried sharp lush much round extra even bad brazen best potential nimble straightforward simple plain wild perfect slow signed two every all house key wrong small subtle minor first right such teenage life broken great little inordinate one exploding suggestive these four unhurried fine exquisite least complete particular thematic gleaming her eight each Two years ago, Teen Dream felt like such a complete realization of Beach House's potential that it had to make you wonder where they could possibly go from there. By just about every measure, the Baltimore duo's fourth album is stronger than anything they've done before.",Rock,house pop lush ethereal,1702
Beach House,Depression Cherry,2015,8.4,"human dim just still work time inviting live celestial more long outside solid same dry silent graceful old inexplicable ethereal yielding ideal worried clear adept lush another whispering giving even high other uncomfortable upset grand less most perfect mixed all newest every house noticeable wandering dissonant minor right actual new broken left down little artistic sweeping open tender these least last buzzing romantic forward front each booming Beach House's newest album, Depression Cherry, might have the silliest, or at least the most inexplicable, title in their catalog, but in every other sense it’s another impeccably measured step forward. Victoria Legrand and Alex Scally have grown so adept at spinning dreams that they can turn all the lights on the set and still dazzle us.",Rock,soundtrack tender comic romantic ethereal house brittle vintage lush,1703
Beach House,Devotion,2008,8.5,"still day immediate time longer frilly embattled inviting telling steadfast more its animal private second thick master parallel sweet dark humble colorful lovely opening latent sharp which only well raw training even classical weary delicate mysterious simple jagged small subtle stronger all diverse house sunny baby easy first elegant such murky down pastoral shimmering creepy coarse sweeping one jarring pristine dense these energetic sinister romantic inspired marked her Beach House's songwriting hasn't fundamentally changed on their second record; they've simply cleaned up their sound, resulting in crisper, brighter, bolder songs that retain the Baltimore dream-pop duo's melodic sense and vibe of elegant decay.",Rock,shimmering world dense dark energetic romantic house rock murky raw pop classical,1704
Beach House,Once Twice Melody,2022,7.8,"velvety identical blooming gradual muscular languid clean live very home original more later current long its grandiose transformed same electric outward classic leading single diffuse profound light shy wooden entire subtle two every all house bigger worth heavy vast first abandoned down changing pastoral dazzling operative one superlative last sumptuous pure acoustic gleaming eight With panoramic proportions and gleaming finishes, the band’s sprawling eighth album luxuriates in the rhapsody of sensation itself. You don’t listen to Once Twice Melody, you dissolve into it.",Rock,house pop velvety shoegaze,1705
Beach House,Teen Dream,2010,9.0,"just time more long thick better master blurry effective choppy inside close pensive third both similar informed shimmering true romantic each gorgeous still silver shadowy seasick pretty superb sharp another dead dramatic even distinctive melodic sparkling noisy front cheap stirring main good assured second failed familiar feeling which light unusual fourth diverse key crashing first deliberate open thoughtful double longer anxious its parallel dark big opening hazy somber most slow all house sad repetitive new down careful full these her alone Teen Dream is both the most diverse and most listenable of the Baltimore band's three full-lengths, and yet it never seems like a compromise.",Rock,hardcore shimmering world gospel shoegaze dark romantic house soul swing pop,1706
Beach House,Thank Your Lucky Stars,2015,8.1,"immaculate dusty young still sour time very good typical more second long pneumatic same familiar electric chilly crystalline usual clear disappearing well essential which much even common nine magic most lucky warm black signed all slow house heavy consistent new theatrical regular separate down great left full one open smaller these next last fading political sea strange distant threatening her surprising otherwise each gorgeous Suprise release Thank Your Lucky Stars is Beach House's second full-length in as many months. Spiritually, the album feels closer to the darker mood the duo cultivated before they signed to Sub Pop.",Rock,house pop world warm,1707
Beck,Guero,2005,6.6,"subject whole major time gold very good far various outside his old healthy big unable enjoyable past which well depressive reflective known unique mellow most unwilling future small slow middle dominant house similar agreeable all patient grave exotic smooth one distinct persistent least these indeterminate ardent period sea present acoustic psychological questionable Contemporary rock's top chameleon gives the people what they want, drafting in the Dust Brothers to try to recapture his Odelay persona and sound.",Rock,folk house,1770
Beck,Mellow Gold,1994,8.8,"just local work time gold early home passing later free living burning psychedelic his rudimentary mischievous homey same old single moving material well much even bad uncomfortable most choice mellow moved small all red house alternative vocal such new mean cool ready little communal recent artistic cramped street different Each Sunday, Pitchfork takes an in-depth look at a significant album from the past, and any record not in our archives is eligible. Today, we revisit Beck’s ramshackle 1994 album, a quintessential piece of alternative rock, experimental folk, and hip-hop that felt magically displaced in time.",Rock,hardcore folk funk rap abstract house soul,1772
Bee Gees,Greatest,2007,8.8,young still just understood time longer gold early later its involved phenomenal celebrated popular popping away standard moving which most kind black two life house important tribal first necessary encouraged new great down working interesting one brief younger critical least next last greatest late fascinating main cut The Bee Gees are the gold standard for disco-pop.,Rock,soundtrack techno broadway disco house soul pop,1785
Belle and Sebastian,The BBC Sessions,2008,7.9,"atypical tentative live time early more loving its private later better his same feeling old prior charmed transitional enthusiastic well even cut common known slow life middle waiting two heavy easy first total limited new great little tight holiday full five additional faithful one stumbling polished these sinister period fitting different sleepy half lazy each Selecting from radio performances recorded between 1996 and 2001, including a set for the legendary John Peel, The BBC Sessions offers an appealing alternate portrait of Belle and Sebastian in their more ramshackle early days.",Rock,polished sleep baroque rock,1824
Belle and Sebastian,The Boy With the Arab Strap,1998,8.5,"half work either cultural major time beautiful native early seven more later second long engaging enough gifted its tumultuous head his disappointed feeling professional opening suffering well which another only even delicate third evocative known other brilliant most confusing key intimate alternative frustrated absent charming real democratic new full one true four sinister business sea quick different alone understanding The Scottish band’s excellent third album features some of their darkest and most detailed songs. Wholly beautiful and delicate, it was Stuart Murdoch’s first reluctant step into the spotlight.",Rock,world britpop rock intimate sleep grunge pop,1825
Best Coast,Crazy For You,2010,8.4,famous equal game just whole good pretty more basic long free fit dry envious classic away past static which only slight light much crazy best overall even inadequate other simple submissive most opposite endearing certain all every key safe heavy easy vocal temporary mean lyrical great full verbal sweeping strong brief true these last carefree likable least honest possible her lazy California's Bethany Cosentino delivers on the promise of her noisy early singles with a richer-sounding album that highlights the power of her voice.,Rock,meditation noise drone rock pop reggae dub,1922
Beulah,When Your Heartstrings Break,1999,8.3,"advanced lonely still budget handsome whole awesome clean time extended just home far upstairs good more wood long its her head better fleeting burning low astonishing hopeful embittered cold familiar away past several which bitter another giving shiny cynical determined purple western nice best soulful most vulnerable future wry small kitchen annoying average new bouncy one brief awkward wanting last level forward impossible different heartbreaking Maybe it was the bitter cold, maybe it was the fleeting odor of burning wood or the miles of forest ...",Rock,pop bouncy breaks hopeful,1948
